Threshold,Precision,Recall,F1,Predicted_Churn_Rate
0.3799999999999999,0.47749437359339836,0.8515050167224081,0.6118721461187214,0.4731984380546681
0.3899999999999999,0.48193229364777485,0.8474916387959867,0.6144519883608147,0.4666311679091232
0.3999999999999998,0.48745658047086066,0.8448160535117056,0.618208516886931,0.45988640397586084
0.4099999999999998,0.4927251278018089,0.8381270903010033,0.620604259534423,0.4513667021654242
0.4199999999999998,0.4962015193922431,0.8301003344481606,0.6211211211211212,0.44391196308129216
0.4299999999999998,0.5,0.822742474916388,0.6219974715549936,0.4366347177848775
0.43999999999999984,0.5043478260869565,0.8147157190635451,0.6230179028132993,0.42864749733759316
0.44999999999999984,0.5077633235417541,0.8093645484949833,0.6240330067044868,0.42296769613063545
0.45999999999999985,0.512143161482744,0.8040133779264214,0.6257157730348777,0.41657791977280795
0.46999999999999986,0.5174216027874564,0.7946488294314381,0.6267475600105513,0.40752573659921904
0.47999999999999976,0.5219317678334072,0.7879598662207358,0.6279317697228145,0.40060347887823927
0.48999999999999977,0.5277652370203161,0.7819397993311037,0.630188679245283,0.3931487397941072
0.4999999999999998,0.5344986200551978,0.777257525083612,0.6334150994821477,0.3858714944976926
0.5099999999999998,0.5409069658719028,0.7739130434782608,0.6367638965327462,0.3796592119275825
0.5199999999999998,0.5459305092812946,0.7672240802675585,0.6379310344827587,0.3729144479943202
0.5299999999999998,0.5509708737864077,0.7591973244147158,0.6385372714486639,0.36563720269790556
0.5399999999999998,0.5590433482810164,0.7505016722408027,0.6407766990291263,0.3562300319488818
0.5499999999999998,0.5624044829342842,0.7384615384615385,0.6385193753614806,0.3484203052893149
0.5599999999999997,0.5666148263348886,0.7311036789297659,0.6384345794392523,0.3423855165069223
0.5699999999999997,0.5721868365180467,0.7210702341137124,0.6380585972181119,0.3343982960596379
0.5799999999999997,0.579520697167756,0.711705685618729,0.6388471930351246,0.3258785942492013
0.5899999999999997,0.5887640449438202,0.7010033444816054,0.64,0.3159389421370252
0.5999999999999998,0.5939849624060151,0.6869565217391305,0.6370967741935484,0.30688675896343626
0.6099999999999998,0.6001188354129531,0.6755852842809364,0.6356198867212083,0.2987220447284345
0.6199999999999998,0.6055384615384616,0.6581939799331104,0.6307692307692307,0.2884274050408236
0.6299999999999997,0.6103404791929382,0.6474916387959866,0.6283674131775397,0.28150514731984383
0.6399999999999997,0.6166341780376868,0.6347826086956522,0.6255767963085036,0.2731629392971246
0.6499999999999997,0.6205507051712559,0.6180602006688963,0.6193029490616622,0.2642882499112531
0.6599999999999997,0.6256906077348067,0.6060200668896321,0.6156982670744139,0.2570110046148385
0.6699999999999997,0.630049610205528,0.5946488294314382,0.6118375774260152,0.2504437344692936
0.6799999999999997,0.6380323054331865,0.5812709030100335,0.6083304165208261,0.2417465388711395
0.6899999999999997,0.6444780635400907,0.5698996655518395,0.6048988285410011,0.23464678736244232
0.6999999999999996,0.6546026750590087,0.5565217391304348,0.601590744757773,0.22559460418885338
0.7099999999999996,0.6612111292962357,0.5404682274247492,0.5947736474052263,0.21689740859069934
0.7199999999999996,0.6638297872340425,0.5217391304347826,0.5842696629213483,0.20855520056798013
0.7299999999999996,0.6713780918727915,0.5083612040133779,0.5786067757898744,0.20092296769613063
0.7399999999999997,0.6787037037037037,0.4903010033444816,0.5693203883495146,0.19169329073482427
0.7499999999999997,0.6814244465832531,0.4735785953177257,0.5588003157063931,0.18441604543840964
0.7599999999999997,0.6908358509566969,0.4588628762541806,0.5514469453376206,0.17625133120340788
0.7699999999999997,0.7039045553145337,0.43411371237458196,0.5370293752585851,0.16364927227547035
0.7799999999999997,0.70261066969353,0.4140468227424749,0.5210437710437711,0.15637202697905572
0.7899999999999996,0.7061668681983071,0.3906354515050167,0.5030146425495263,0.14678736244231452
0.7999999999999996,0.7171717171717171,0.37993311036789296,0.49672059466550067,0.14057507987220447
